type,line,original,modern,english,id,title,description
line,2576,Govyna myns a vynny,Govynn a vyns a vynni,"1576 Ask all that thou wishest,",,,
line,2577,meryasek the ortheff vy,"Meryasek, dhiworthiv vy,","Meriasek, of me,",,,
line,2578,ha ny fellyth annotha,ha ny fyllydh anodho.,And thou shalt not lack thereof.,,,
line,2579,kyn teseryas punsov cans,Kyn tesirryes peunsow kans,Though thou shouldst desire an hundred pounds,,,
line,2580,mar qureth dym gueles dyblans,mar kwredh dhymm gweles diblans,1580 If thou makest me see distinctly,,,
line,2581,gans our pur sur me ath pea,gans owr pur sur my a'th pe.,With gold right surely I will pay thee.,,,
blank,,,,,,,
speaker,,MERIADOCUS 2582,Meriadocus,MERIASEK.,,,
line,2582,Nynsyv the denvyth guertha,"Nyns yw dhe dhenvydh gwertha,",It is not to any one to purchase.,,,
line,2583,ov map grays du war an beys,"ow mab, gras Dyw war an bys.","My son, God's grace on the world.",,,
line,2584,yma guel forth es honna,Yma gwell fordh es honna,4584 There is a better way than this,,,
line,2585,mar a pethy prederys,mara pydh hi prederys.,If it be considered. [If thou wilt be wise],,,
blank,,,,,,,
speaker,,COMES 2586,Comes,THE EARL.,,,
line,2586,Ry peth dyso thym ny vern,Ri pyth dhiso dhymm ny vern.,To give wealth to thee concerns me not.,,,
line,2587,vnw#t# gueles a callen,Unnweyth gweles a kallen,Once if I could see,,,
line,2588,sensy quarel orth mytern,synsi kwarel orth myghtern,1588 To hold a quarrel with a king,,,
line,2589,purdefry my ny dovtsen,"pur dhevri my ny dhoutsen,","Certainly I should not fear,",,,
line,2590,na russen nes,na wrussen nes.,Nor should I make alliance.,,,
line,2591,guel vya gene the wyr,Gwell via gene' dhe wir,Better were it with me truly,,,
line,2592,prest gueles es x puns tyr,prest gweles es deg peuns tir,1592 Now to see than though ten pounds (worth of ) land,,,
line,2593,rag nefre kyn rollen des,rag nevra kyn rollen dhis.,For ever I should give to thee.,,,
blank,,,,,,,
speaker,,MERIADOCUS 2594,Meriadocus,MERIASEK.,,,
line,2594,Oll the promes hath teryov,Oll dha bromys ha'th tiryow,All thy promise and thy lands,,,
line,2595,guethy lemen avel kyns,gwith i lemmyn avel kyns.,Keep them now as before.,,,
line,2596,me a vyn in ov dythyov,"My a vynn, yn ow dydhyow,","4596 I will, in my days,",,,
line,2597,gul warlergh crist pen an syns,"gul war-lergh Krist, penn an sens.","Do according to Christ, the head of the saints.",,,
blank,,,,,,,
speaker,,COMES 2598,Comes,THE EARL.,,,
line,2598,Me ath peys a luengolon,My a'th pys a leun golonn,I beseech thee with a full heart,,,
line,2599,ty the vynnes ov sawya,ty dhe vynnes ow sawya,That thou wouldst save me,,,
line,2600,rag kerense an passconn,rag kerensa an passhyon,1600 For love of the Passion,,,
line,2601,a thuk ihesu in bysma,a dhug Yesu y'n bys ma.,Which Jesus bore in this world,,,
line,2602,scorgis gans an ʒethewon,"Skorjys gans an Yedhewon,","Scourged by the Jews,",,,
line,2603,kentrewys treys ha dula,"kentrewys treys ha diwla,","Nailed, feet and two hands,",,,
line,2604,gans gu lym in tenewon,gans guv lymm y'n tenewen,1604 With a sharp spear (in) the side,,,
line,2605,del russons y y guana,dell wrussons i y wana,As they did pierce him,,,
blank,,,,,,,
line,2606,Der an golon,"der an golonn,","Through the heart,",,,
line,2607,y woys dyson,y woes dison,His blood quickly,,,
line,2608,may tevera,may teverra.,2608 That it might drop.,,,
line,2609,gueres den dal,Gweres den dall,Heal a blind man,,,
line,2610,oma heb fal,omma heb fall,Here without fail,,,
line,2611,orth ihesu rag kerensa,orth Yesu rag kerensa!,For love towards Jesu !,,,
blank,,,,,,,
speaker,,MERIADOCUS 2612,Meriadocus,MERIASEK.,,,
line,2612,Orth ihesu rag kerense,Orth Yesu rag kerensa,For love towards Jesu,,,
line,2613,a qurelles opery (e pesy?) kyns,"a kwrelles oberi kyns,","If thou wouldst act before,",,,
line,2614,guereses ty a vye,gweresys ty a via.,Cured thou wouldst be.,,,
line,2615,oll ath rychyth me a syns,Oll a'th rychys my a syns,All of thy riches I hold,,,
line,2616,nebes an fa,neb es an fa'.,Less than a bean.,,,
stage,,[genuflectit,,[he kneels.,,,
line,2617,ihesu crist luen a vercy,"Yesu Krist, leun a versi,","Jesu Christ, full of mercy,",,,
line,2618,ihesu crist y syght grua dry,"Yesu Krist, y syght gwra dri","Jesu Christ, his sight bring",,,
line,2619,den denma del yth pesa,"dhe'n den ma, dell y'th pysa'!","To this man, as I beseech thee !",,,
blank,,,,,,,
speaker,,COMES,Comes,THE EARL [kneels.,,,
stage,,[genuflectit,,,,,
line,2620,Ihesu arluth galosek,"Yesu, Arloedh galloesek,","May Jesu, mighty Lord,",,,
line,2621,rebo gorthys benytha,"re bo gordhys bynytha,","Be worshipped ever,",,,
line,2622,han sans glorijs meryasek,"ha'n sans glorius Meryasek,","And the glorious saint Meriasek,",,,
line,2623,rum sawyas vy in torma,re'm sawyas vy y'n tor' ma.,Who salved me this turn.,,,
line,2624,me a wyl lemen in tek,"My a wel lemmyn yn teg,","1614 I see now beautifully,",,,
line,2625,bythqueth ny welys clerra,bythkweyth ny welis klerra.,Never have I seen clearer.,,,
line,2626,del wothen letris ha lek,"Dell wodhon, lettrys ha leg,","As we know, lettered and lay,",,,
line,2627,lel servont du yv helma,lel servont Dyw yw hemma.,A loyal servant of God is this (man).,,,
blank,,,,,,,
speaker,,OBSESSUS,Obsessus,THE DEMONIAC,,,
stage,,[ye devyll aredy by hys syde,,[the devil ready by his side.,,,
line,2628,A gueresvy meryasek,"A gweres vy, Meryasek,","O help me, Meriasek,",,,
line,2629,orth ihesu rag kerensa,orth Yesu rag kerensa!,For love towards Jesu !,,,
line,2630,me yv vexijs anhethek,My yw veksyes anhedhek,I am vexed (and) loathsome. [I am foully vexed],,,
blank,,,,,,,
line,2631,gans tebel speris oma,gans tebel spyrys omma.,By an evil spirit here,,,
line,2632,numbus bewa,Ny'm beus bywa.,4631 I have not life.,,,
line,2633,eff am kemer gans schoris,Ev a'm kemmer gans shorys,He seizes me with shivering fits (?),,,
line,2634,may wothaffsen boys leskis,may hwodhavsen bos leskys:,So that I would endure to be burnt :,,,
line,2635,le greff es perthy orta,le grev es perthi orta.,A lesser grief than to bear up against them.,,,
blank,,,,,,,
speaker,,SURDUS 2636,Surdus,A DEAF MAN.,,,
line,2636,Me yv den na yl clowas,My yw den na yll klywes.,1636 I am one who cannot hear.,,,
line,2637,meryasek ty yv dremas,"Meryasek, ty yw dremas,","Meriasek, thou art a worthy man,",,,
line,2638,ov breys thym yma ov ton,ow breus dhymm yma ow toen,My judgment to me is bearing,,,
line,2639,y halses prest ov gueras,y hallses prest ow gweres.,That thou couldst at once heal me.,,,
line,2640,rag kerense crist map ras,"Rag kerensa Krist, mab ras,","4640 For love of Christ, son of grace,",,,
line,2641,myr thynny bohosogyon,mir dhyn ni boghosogyon.,"Look at us, poor (fellows).",,,
stage,,[genuflectit,,[He kneels.,,,
blank,,,,,,,
speaker,,MERIADOCUS 2642,Meriadocus,MERIASEK.,,,
line,2642,Ihesu crist der the vercy,"Yesu Krist, der dha versi,","Jesu Christ, through thy mercy,",,,
line,2643,mar sus drok sperys ogas,"mars eus drog spyrys ogas,",If there be an evil spirit at hand,,,
line,2644,ihesu gorre thy teythy,"Yesu, gorr e dh'y deythi,","2644 Jesu, put him to his faculties [journeys],",,,
line,2645,hag omma darber ʒehas,hag omma darbar yeghes,And here prepare healing,,,
line,2646,then ij denma 2647,dhe'n dhew dhen ma.,For these two men.,,,
line,2647,may fo guelys,May fo gwelys,So that it may be seen,,,
line,2648,ov boys in beys,ow bos y'n bys,2648 That I am on earth,,,
line,2649,orth the servya,orth dha servya.,Serving thee.,,,
blank,,,,,,,
speaker,,DEMON,Demon,THE DEMON [the demoniac howleth.,,,
stage,,[vlulat en[er]goumenus,,,,,
line,2650,Out o#t# warnes meryasek,"Out, out warnas, Meryasek!","Out, out on thee, Meriasek !",,,
line,2651,ty yv thymo molothek,Ty yw dhymmo mollothek,Thou art to me accursed,,,
line,2652,orth ov domhel (outh om[w]hel? domw[h]el?) dres an pov,orth ow domhwel dres an pow.,Driving me through the country.,,,
line,2653,genes prest me numbus creys,"Genes prest my ny'm beus kres,","By thee now I have not strength,",,,
line,2654,wath me a ra moy deseys,hwath my a wra moy dises,"Yet I will go [cause more], disease",,,
line,2655,rag atty (otty) dyso myn gou,"rag atti dhiso, mingow.","To sow for thee, [For lo (there is) to thee a] thou mouth of lies.",,,
blank,,,,,,,
speaker,,OBSESSUS 2656,Obsessus,THE DEMONIAC.,,,
line,2656,The ihesu rebo grasseys,Dhe Yesu re bo grassyes!,2656 To Jesu be thanks !,,,
line,2657,an drok sperys avodys,An drog spyrys avodys,The evil spirit gone forth,,,
line,2658,yma sur the ortheff vy,yma sur dhiworthiv vy.,Is surely from me.,,,
line,2659,sav off numbus galarov,"Saw ov, ny'm beus galarow.","Whole am I, I have not ills [sorrows].",,,
line,2660,meryasek in ov dythyov,"Meryasek, yn ow dydhyow","2660 Meriasek, in my days",,,
line,2661,sensys off mur dysogy,synsys ov meur dhiso jy.,I am greatly bound to thee.,,,
stage,,[ffinit,,,,,
blank,,,,,,,
speaker,,SURDUS 2662,Surdus,THE DEAF MAN.,,,
line,2662,Ha my a clov,Ha my a glyw,And I hear,,,
line,2663,mar tha del reys,mar dha dell res.,As well as need (be).,,,
line,2664,in ov dethyov,Yn ow dydhyow,In my days,,,
line,2665,ythoff sensys,yth ov synsys,I am bound,,,
line,2666,the veryasek,dhe Veryasek.,To Meriasek.,,,
line,2667,dretho sawys,Dredho sawys,Through him healed,,,
line,2668,ha gueresys,ha gweresys,And cured,,,
line,2669,ython purdek,yth on pur deg.,We are right fairly.,,,
stage,,[ffinit,,,,,
blank,,,,,,,
speaker,,COMES GLOBUS 2670,Comes Globus,EARL GLOBUS.,,,
line,2670,Meryasek gorthys reby,"Meryasek, gordhys re bi!","Meriasek, worshipped be thou !",,,
line,2671,genes confortis onny,Genes konfortys on ni,By thee comforted are we,,,
line,2672,ese in mur a ponfos,"esa yn meur a boenvos,","2672 Who were in much trouble,",,,
line,2673,ha dreys sur the lowena,ha dres sur dhe lowena.,And brought surely to joy.,,,
line,2674,ny a beys rag venytha,Ni a bys rag vynytha,We will pray for ever,,,
line,2675,crist re sensa the gallos,Krist re synsso dha alloes!,May Christ keep thy power !,,,
blank,,,,,,,
speaker,,MERIADOCUS 2676,Meriadocus,MERIASEK.,,,
line,2676,Ov flehys wek eugh why dre,"Ow fleghes hweg, ewgh hwi dre.","1676 My sweet children, go ye home.",,,
line,2677,ov banneth genogh neffre,Ow bennath genowgh nevra!,My blessing with you ever !,,,
line,2678,na letyogh vy am servys,Na lettyewgh vy a'm servis.,Do not hinder me in my service.,,,
line,2679,ha guetyogh the du grassee,Ha gwaytyewgh dhe Dhyw grassa.,And take care to give thanks to God.,,,
line,2680,eff re ruk agis sawye,Ev re wrug agas sawya,2680 He hath healed you,,,
line,2681,adar my cresugh pup preys,"a-der my, krysewgh pup-prys.","Through (?) [Without] me, believe ye always.",,,
stage,,[tranceunt omnes domum,,[All pass home.,,,
blank,,,,,,,
stage,,Hic Comes venetensis pompabit,Hic Comes venetensis pompabit,Here the Earl of Vannes shall parade.,,,
blank,,,,,,,
speaker,,[COMES VENETENSIS] 2682,,,,,
line,2682,Me yv ʒurle in venetens,"My yw yurl yn Venetens,",I am earl in Vannes.,,,
line,2683,arluth mur ov denyte,arloedh meur ow dynyta.,"A lord, great my dignity.",,,
line,2684,then arluth du murworthyens,"Dhe'n Arloedh Dyw meur wordhyans,","2684 To the Lord God, great worship,",,,
line,2685,ha grays thym ʒy ventine,"ha gras dhymm dh'y ventena,",And grace to me to maintain it.,,,
line,2686,re tharbarre,re dharbarro.,May he vouchsafe !,,,
line,2687,epscop an pov yv marov,Epskop an pow yw marow:,The bishop of the country is dead :,,,
line,2688,then colgy heb feladov,dhe'n kollji heb falladow,2688 To the college without fail,,,
line,2689,me a vyn moys aleme,my a vynn mos alemma.,I will go hence.,,,
line,2690,reys yv thym meres hythov,Res yw dhymm mires hedhyw,Needful is it for me to see to-day,,,
line,2691,agen epscop thynny pyv a ve,agan epskop dhyn ni piw a ve.,Our bishop for us who shall be.,,,
blank,,,,,,,
speaker,,ARMIGER COMITIS VENETENSIS,Armiger comes venetensis,A SQUIRE OF THE EARL OF VANNES.,,,
line,2692,Ser arluth ny a genogh,"Syrr arloedh, ni a genowgh,","1692 Sir lord, we will go with you.",,,
line,2693,hebogh why sur na menogh,hebowgh hwi sur nammenowgh,Without you surely not often,,,
line,2694,ny sped mater in povma,ny sped mater y'n pow ma.,Speeds a matter in this country.,,,
line,2695,yma rych ha bohosek,Yma rych ha boghosek,Rich and poor are,,,
line,2696,ov teserya meryasek,ow tesirya Meryasek,2696 Desiring Meriasek,,,
line,2697,epscop pur guir may fova,epskop pur wir may fo va.,That he be bishop right truly,,,
stage,,[descendit,,[he goes down.,,,
blank,,,,,,,
speaker,,COMES VENETENSIS,Comes venetensis,THE EARL OF VANNES,,,
stage,,"[ad decanum in colegia (collegio {F.N., 154} ) in placea",,[to the dean in the college on the stage.,,,
blank,,,,,,,
line,2698,Ser deyn lowene dywy,"Syrr deyn, lowena dhy'hwi,","Sir Dean, joy to thee,",,,
line,2699,ha the oll agys colgy,ha dhe oll agas kollji.,And to all your college.,,,
line,2700,me re duth sav guel aveys,"My re dheuth, saw gwell avis,","2700 I have come, saving better advice.",,,
line,2701,rag gothfes purthyogel,rag godhvos pur dhiogel,To know right certainly,,,
line,2702,pyv a veth epscop in lel,piw a vydh epskop yn lel,Who shall be bishop loyally,,,
line,2703,omma lemen dewesys,omma lemmyn dewisys.,Here now chosen ?,,,
blank,,,,,,,
speaker,,DECANUS,Decanus,THE DEAN [on the stage.,,,
stage,,[in placea,,,,,
line,2704,Ser ʒurle ov arluth worthy,"Syrr yurl, ow arloedh wordhi,","2704 Sir Earl, my worthy lord,",,,
line,2705,oma wolcum sur owhy,omma wolkomm sur owgh hwi.,Here welcome surely are ye.,,,
line,2706,peys da on agis aveys,Pes da on a'gas avis,Well satisfied shall we be with your advice,,,
line,2707,rag gothfos pur eredy,rag godhvos pur yredi,To know right readily,,,
line,2708,pyv a vo epscop thynny,piw a vo epskop dhyn ni,2708 Who should be bishop for us,,,
line,2709,in guelle preys,yn gwella prys.,In the shortest time.,,,
blank,,,,,,,
speaker,,COMES VENETENSIS 2710,Comes venetensis,THE EARL OF VANNES.,,,
line,2710,Yma oll an comen voys,Yma oll an kommen voys,All the common voice is,,,
line,2711,gans meryasek ov cul noyys,gans Meryasek ow kul noys,With Meriasek making a noise,,,
line,2712,may fo epscop eredy,may fo epskop yredi.,"271a That he be bishop readily,",,,
line,2713,ha me ny won den byth wel,Ha my ny wonn denvydh gwell.,And I know not any one better.,,,
line,2714,pyv a vyn ken leferel,Piw a vynn ken leverel,Whoso will say otherwise,,,
line,2715,gorthebugh omma dynny,gorthybewgh omma dhyn ni.,Answer ye here to us.,,,
stage,,[Comes trancit domum,,[the Earl goes home.,,,
blank,,,,,,,
speaker,,CANONICUS 2716,Canonicus,THE CANON.,,,
line,2716,Ny yv certen lowenek,Ni yw sertan lowenek,2716 We are certainly joyous,,,
line,2717,rag cafus dyn meryasek,rag kavoes dhyn Meryasek,To find for us Meriasek.,,,
line,2718,the voys revler,dhe vos rewler.,To be ruler.,,,
line,2719,a thensa nynson tollys,A dhensa nyns on toellys:,In the goodman we are not deceived :,,,
line,2720,danvenogh rag y vollys,"dannvenewgh rag y vollys,","2720 Send ye for his bulls,",,,
line,2721,ov arluth ker,ow arloedh ker.,My dear lord.,,,
blank,,,,,,,
speaker,,COMES VENETENSIS 2722,Comes venetensis,THE EARL OF VANNES.,,,
line,2722,Dus in rag ov maseger,"Deus yn rag, ow messejer!","Come forward, my messenger !",,,
line,2723,ke thym the pap seluester,"Ke dhymm dhe Bab Sylvester,","Go for me to Pope Silvester,",,,
line,2724,lauer boys an guelhevyn,lavar bos an gwelhevin,2724 Say that the chiefs,,,
line,2725,a vreter (vreten) orth y pesy,a Vreten orth y bysi,Of Brittany are beseeching him,,,
line,2726,rag meryasek den worthy,"rag Meryasek, den wordhi.","For Meriasek, a worthy man.",,,
line,2727,epscop in venetensy,Epskop yn Venetensi,"Bishop of Vannes,",,,
line,2728,y cafus prest y fensyn,y gavoes prest y fynnsyn.,2728 Have him at once we would.,,,
blank,,,,,,,
speaker,,NUNCIUS PRIMUS,Nuncius primus  ad comes venetensis,FIRST MESSENGER to the Earl of Vannes.,,,
stage,,aomes {sic} venetensis,,,,,
line,2729,Ser ʒurle ny vethugh tollys,"Syrr yurl, ny vydhowgh toellys,","Sir Earl, you shall not be deceived,",,,
line,2730,the dre y troff y vollys,dhe dre y trov y vollys,"Home I will bring his bulls,",,,
line,2731,bys oma ny letya pel,bys omma. ny lettya' pell.,Even here I will not delay longer [long].,,,
line,2732,mones a raff,Mones a wrav,2732 I will go,,,
line,2733,uskis ha schaff,uskis ha skav.,Quickly and rapidly.,,,
line,2734,genogh farwel,Genowgh farwel.,To you farewell.,,,
blank,,,,,,,
speaker,,SILVESTER 2735,Silvester,SILVESTER.,,,
line,2735,Gallus ha confort an tas,Galloes ha konfort an Tas,The might and the comfort of the Father,,,
line,2736,rebo genen pup termen,re bo genen pub termyn!,2736 Be with us always !,,,
line,2737,ihesu an map luen a ras,"Yesu, an Mab leun a ras","Jesu, the Son full of grace",,,
line,2738,sokyr ny mo ha meten,sokor ni mo ha myttin!,Succour us evening (?) and morning !,,,
line,2739,an sperys sans benygas,An spyrys sans bennigys,The holy blessed Spirit [The blessed Holy Ghost],,,
line,2740,y gras genen may keffen,"y ras genen may kyffyn,","1740 His grace with us that we may have,",,,
line,2741,maria mam ha guerhas,"Maria, Mamm ha Gwyrghes,","Mary, Mother and Virgin,",,,
line,2742,the vercy du peys ragoen,dhe versi Dyw pys ragon.,To God's mercy pray for us.,,,
blank,,,,,,,
line,2743,Mercy du prest yv parys,Mersi Dyw prest yw parys,God's mercy is ever ready,,,
line,2744,the vap den mar an wyla,dhe vab den mara'n hwila.,1744 For the son of man if he seeks it.,,,
line,2745,nynsyv y voth boys kelys,Nyns yw y vodh bos kellys,It is not His will that,,,
line,2746,an peth a ruk the prenna,an pyth a wrug dhe brena.,What he has redeemed should be lost.,,,
line,2747,insol bethugh glan ʒesseys,"Yn-sol! Bedhewgh glan yesys,","Up ! be ye clean confessed,",,,
line,2748,avodyogh pegh in bysma,"avodyewgh pegh y'n bys ma,","2748 Avoid ye sin in this world,",,,
line,2749,ha rag an pehas us grueys,ha rag an peghes eus gwrys,And for the sin that is done,,,
line,2750,kemerogh luen edrega,"kemmerewgh leun edrega,","Take full repentance,",,,
line,2751,ha bethugh war,"ha bedhewgh war,","And be ye wary,",,,
line,2752,na dreylogh ʒe pegh na moy,"na drelyewgh dhe begh namoy,","Turn unto sin no more,",,,
line,2753,ha why a thue sur then ioy,ha hwi a dheu sur dhe'n joy,And ye shall surely come to the joy,,,
line,2754,us in neff nangeves par,"eus yn nev, na'n jeves par.",That is in heaven (and) that hath no equal,,,
blank,,,,,,,
speaker,,PRIMUS NUNCIUS,Primus nuncius,FIRST MESSENGER [to Silvester.,,,
stage,,[ad silvestrem,,,,,
line,2755,Sylvester gorthyans dywhy,"Syluester, gordhyans dhy'hwi!","Silvester, worship to you !",,,
line,2756,oma danvenys ovy,Omma dannvenys ov vy,Here am I sent,,,
line,2757,a vrereten (vreten) pur eredy,a Vreten pur yredi,From Brittany very readily,,,
line,2758,rag weles sur arluth wek,"rag gweles sur, arloedh hweg,","To seek surely, sweet lord,",,,
line,2759,gallus may fo meryasek,galloes may fo Meryasek,Power that Meriasek be,,,
line,2760,epscop sacrys purdefry,epskop sakrys pur dhevri,3760 Consecrated bishop right earnestly,,,
line,2761,in vetenens (venetens) cyte dek,"yn Venetens, sita deg.","In Vannes, a fair city.",,,
line,2762,helmyv both an arlythy,Hemm yw bodh an arlydhi.,This is the will of the lords.,,,
blank,,,,,,,
speaker,,SILVESTER 2763,Siluester,SILVESTER.,,,
line,2763,Wolcum ythos ov map wek,"Wolkomm yth os, ow mab hweg!","Welcome art thou, [my] sweet son !",,,
line,2764,den grassyes yv meryasek,"Den grassyes yw Meryasek,","2764 A gracious man is Meriasek,",,,
line,2765,del glowys y acontia,dell glywis y akontya.,As I have heard him accounted.,,,
line,2766,y vollys a veth screfys,Y vollys a vydh skrifys,His bulls shall be written,,,
line,2767,ha waree gryeys dis parys,ha hware gwrys dhis parys,And anon made ready for thee,,,
line,2768,may hylly prest lafuria,may hylli prest lavurya.,2768 So that thou mayst at once go onward.,,,
stage,,[bollys aredy.,,[bulls ready.,,,
blank,,,,,,,
speaker,,CARDINALE,Cardinale,A CARDINAL [to the Messenger.,,,
stage,,[to ye masyger,,,,,
line,2769,Yma an bollys parys,Yma an bollys parys.,The bulls are ready.,,,
line,2770,maseger kemery dis,"Messejer, kemmer i dhis","Messenger, take them to thee",,,
line,2771,der lescyens ov arluth da,der leshyans ow arloedh da.,By licence of my good lord.,,,
line,2772,yma notijs,Yma notyes,There is noted,,,
line,2773,sur ha covsis,sur ha kewsys,Surely and spoken,,,
line,2774,mur thadder an keth denna,meur dhader a'n keth den na.,Much goodness of that same man.,,,
blank,,,,,,,
speaker,,PRIMUS NUNCIUS 2775,Primus numcius,FIRST MESSENGER.,,,
line,2775,Ov arluth dywhy mur grays,"Ow arloedh, dhy'hwi meur ras,","My lord, to you much thanks,",,,
line,2776,mar uskis why the vynnays,mar uskis hwi dhe vynnes,2776 So quickly that thou wouldst,,,
line,2777,spedia sur ov negysyov,spedya sur ow negysyow.,Speed surely my errands.,,,
line,2778,kumyas pesa,Kummyas pysa',Leave I pray,,,
line,2779,rag moys lema,rag mos  'lemma,To go hence,,,
line,2780,troha ham pov,troha ha'm pow.,2780 To my province. [towards them and],,,
blank,,,,,,,
speaker,,SILVESTER 2781,Siluester,SILVESTER,,,
line,2781,Banneth crist rebo genes,Bennath Krist re bo genes!,Christ's blessing be with thee !,,,
line,2782,dynerugh arlythy an gluaes,Dynnerghewgh arlydhi an gwlas,Greet ye the lords of the country,,,
line,2783,thymo vy ha meryasek,"dhymmo vy, ha Meryasek.","For me, and Meriasek.",,,
line,2784,den grascyes ef a veth lel,Den grassyes ev a vydh lel.,1784 A gracious man he will be loyally.,,,
line,2785,byth nystufons guel bugel,Bydh ny's teffens gwell bugel,Never will [would] they have a better shepherd,,,
line,2786,in age oys gor na gruek,"yn aga oes, gour na gwreg.","In their age, man nor woman.",,,
blank,,,,,,,
speaker,,NUNCIUS,Nuncius,THE MESSENGER [to the Earl of Vannes.,,,
stage,,[comitem venitensem,,,,,
line,2787,Heyl ser ʒurle in agis tour,"Hayl, syrr yurl yn agas tour!","Hail, sir earl, in your tower !",,,
line,2788,ov negesyov spedijs dour,Ow negysyow spedyes dour,1788 My errands sped vehemently,,,
line,2789,the porpos yma gena,dhe borpos yma gene'.,According to (your) purpose are by me.,,,
line,2790,kemerugh thygh an bollys,Kemmerewgh dhywgh an bollys:,Take to you the bulls :,,,
line,2791,meryasek pan gampollys,Meryasek pan gampoellis,When I spoke of Meriasek,,,
line,2792,an pap a ruk y presia,an Pab a wrug y braysya.,2792 The Pope did praise him.,,,
blank,,,,,,,
speaker,,COMES VENETENSIS 2793,Comes venetensis,THE EARL OF VANNES.,,,
line,2793,Maseger wolcum ythos,"Messejer, wolkomm yth os.","Messenger, welcome art thou.",,,
line,2794,lemmen ens tus then guelfos,Lemmyn ens tus dhe'n gwylvos,Now let folk go to the wilderness,,,
line,2795,the kerhes dyn meryasek,dhe gyrghes dhyn Meryasek.,To seek for us Meriasek.,,,
line,2796,dotho degogh lytherov,Dhodho degewgh lytherow,2796 To him bear ye letters,,,
line,2797,del ma guelheven an pov,dell ma gwelhevin an pow,As the chiefs of the country are,,,
line,2798,orth y exaltya purdek,orth y eksaltya pur deg.,Exalting him right fairly.,,,
blank,,,,,,,
speaker,,DECANUS 2799,Decanus,THE DEAN.,,,
line,2799,Arluth henna a veth grueys,"Arloedh, henna a vydh gwrys.","Lord, that shall be done.",,,
line,2800,duen alemma gans mur greys,Deun alemma gans meur gris,Let us come hence with much might,,,
line,2801,the veryasek,dhe Veryasek.,To Meriasek.,,,
line,2802,yma eff prest in guylfos,Yma ev prest y'n gwylvos.,He is at present in a wilderness.,,,
line,2803,eff a thue mes a ponfos,Ev a dheu mes a boenvos,He will come out of trouble,,,
line,2804,ganso mar plek,ganso mar plek.,If he pleases.,,,
stage,,[ad montem ad meriadocum,,[At the mountain to Meriasek.,,,
line,2805,Lowene dis meryasek,Lowena dhis Meryasek!,Joy to thee Meriasek !,,,
line,2806,at oma dis lyther tek,Ottomma dhis lyther teg,"Lo, here for thee a fair letter",,,
line,2807,lemen redya,lemmyn redya.,Now to read,,,
line,2808,an arlythy ol y myens,An arlydhi oll ymons,2808 That the lords all,,,
line,2809,rag boys epscop venitens,rag bos epskop Venitens,To be bishop of Vannes,,,
line,2810,purguir orth the deseria,pur wir orth dha dhesirya.,Right truly are desiring thee.,,,
blank,,,,,,,
speaker,,MERIADOCUS 2811,Meriadocus,MERIASEK.,,,
line,2811,Mur grays ol then arlythy,"Meur ras oll dhe'n arlydhi,","Much thanks to all the lords,",,,
line,2812,ha thyugh a chenons worthy,"ha dhywgh, a jenons wordhi!","And to you, O worthy canons !",,,
line,2813,ny vannaff an dynyte,Ny vynnav an dynyta:,I wish not the dignity:,,,
line,2814,na benythe cafus cur,na bynytha kavoes kur,"Nor ever to have a cure,",,,
line,2815,na charge vyth in bysma sur,na charj vydh y'n bys ma sur,"Or any charge in this world surely,",,,
line,2816,hedre vevhen benythe,hedra vywen bynytha.,"While I am alive, ever.",,,
blank,,,,,,,
speaker,,CANONICUS 2817,Canonicus,A CANON.,,,
line,2817,Meryasek nynsos den fur,"Meryasek, nyns os den fur.","Meriasek, thou art not a wise man.",,,
line,2818,bevnans ryel a feth sur,Bywnans ryal a'fydh sur,A royal life thou shalt have surely,,,
line,2819,pan veste epscop worthy,pan vesta epskop wordhi.,When thou mayst be a worthy bishop.,,,
line,2820,iij cans puns gyllyth speyna,Tri hans peuns gyllydh spena,2810 Three hundred pounds thou wilt be able to spend,,,
line,2821,in blethen ha moy inta,yn blydhen ha moy yn ta.,"In a year, and more well.",,,
line,2822,the bollis parys yma,"Dha vollys parys yma,",Thy bulls are prepared,,,
line,2823,nynseth in cost eredy,nyns edh yn kost yredi.,Thou wilt not go into cost readily.,,,
blank,,,,,,,
speaker,,MERIADOCUS 2824,Meriadocus,MERIASEK.,,,
line,2824,Vn conduconn sur owhy,Unn kondyshyon sur owgh hwi,2824 The same condition surely are ye,,,
line,2825,kepar ha lues defry,kepar ha lies devri,Even as many certainly,,,
line,2826,hythyv an dus sans eglos,hedhyw a'n dus sans eglos.,To-day of the folk of holy Church,,,
line,2827,pan lafuryens rag benefys,Pan lavuryons rag benfis,When they labour for a benefice,,,
line,2828,ware y feth govynnys,hware y fydh govynnys,Anon it will be asked,,,
line,2829,py lues puns a yl bos,py lies peuns a yll bos,How many pounds can be,,,
line,2830,anethy grueys,anedhi gwrys.,Made thereof?,,,
line,2831,ny remembrons y an charych,Ny remembrons i an charj,They remember not the charge,,,
line,2832,a reys dethe ry har lych,a res dhedha ri hardlych,Of the need [Which was given] to them to give a lengthy list [> Which was given to them to give a strict list],,,
line,2833,therag crist pan deer then vrueys,dherag Krist pan dheer dhe'n vreus.,Before Christ when they come to the Judgment.,,,
blank,,,,,,,
line,2834,Myns angeves charge a cur,Myns a'n jeves charj a gur,"All that have charge of a cure,",,,
